sku_id,candidato,wape_medio,bias_medio,mae_medio,tasa_fallback_backtest,sin_datos_suficientes
21249,xgboost,0.4491528501918506,0.15800346775269725,24.034959157307945,0.25,False
21250,benchmark,0.4879032258064516,-0.4879032258064516,7.166666666666667,0.0,False
21251,ets_tsb,1.244873937604107,1.244873937604107,13.709903257783193,0.0,False
21253,random_forest,0.5317441673165709,0.04762791983089106,5.964642607103546,0.25,False
21257,ets_tsb,0.8722525674189681,0.5525348838344071,45.49087455394297,0.0,False
21258,benchmark,5.843118420041496,5.843118420041496,114.1111111111111,0.0,False
21259,benchmark,1.099525663752594,0.8616457162442649,64.30220588235294,0.0,False
21260,ets_tsb,0.8858610004287493,0.8858610004287493,72.8803124403594,0.0,False
21262,benchmark,0.5120133299798793,0.41915618712273645,21.083333333333336,0.0,False
21269,benchmark,0.33125,-0.23124999999999998,2.183333333333333,0.0,False
21270,benchmark,1.0,1.0,1.0,0.0,False
21272,random_forest,2.5768168076984073,2.4558673051274256,69.58011524470899,0.5,False
21275,benchmark,,,,0.0,True
21277,benchmark,0.5852272727272727,-0.24431818181818182,1.8333333333333335,0.0,False
21279,ets_tsb,10.145409584346876,10.145409584346876,111.59950542781563,0.0,False
21280,benchmark,13.149808001981915,13.149808001981915,112.83333333333334,0.0,False
21284,random_forest,3.617010607692163,3.2456758824060055,74.66458644885208,0.25,False
21285,benchmark,3.1867704874398393,2.402101868861186,100.1111111111111,0.0,False
21286,benchmark,2.4205607476635516,1.0373831775700935,172.66666666666666,0.0,False
21287,benchmark,0.6539695197430474,-0.4947763219422546,140.79999999999998,0.0,False
21288,random_forest,0.4160804822176706,-0.1810389116940952,12.066883425024049,0.25,False
21289,ets_tsb,1.1643335757964595,0.6315042880503532,32.391528644421214,0.0,False
21291,random_forest,1.2287911897670332,0.9139816971885503,83.68806893371178,0.2857142857142857,False
21292,benchmark,,,,0.0,True
21293,benchmark,0.9873432799870474,0.1083239220789642,10.714474755700325,0.0,False
21294,benchmark,1.2355021327017195,-0.10360702581163828,200.99133945976052,0.0,False
21306,benchmark,0.9349977603822281,-0.9118763730989912,69.16666666666666,0.0,False
21307,benchmark,6.75,5.75,9.0,0.0,False
21311,benchmark,1.2118202410299512,0.06950140912740119,75.875,0.0,False
21313,ets_tsb,0.2587441658455131,0.21263178016478984,56.51819349163581,0.0,False
21314,ets_tsb,0.8399122862457538,0.8399122862457538,230.99988648299168,0.0,False
21317,benchmark,0.6022418383074121,-0.47372845733501473,9.166666666666668,0.0,False
21324,benchmark,3.4193548387096775,3.4193548387096775,35.333333333333336,0.0,False
21326,random_forest,0.39638513197597836,-0.10931777078229252,314.5078510392964,0.25,False
21327,benchmark,0.5223446616920349,0.17594865689307154,36.83333333333333,0.0,False
21328,random_forest,0.5989777852944067,-0.17724135520322434,68.38716932951309,0.25,False
21329,random_forest,0.4995195290633909,0.06000795187504013,38.19832423132423,0.25,False
21332,benchmark,8.692307692307692,8.538461538461538,75.33333333333333,0.0,False
21340,benchmark,0.7352837747853654,0.3809159204175111,62.08333333333333,0.0,False
21354,benchmark,1.2140311626358138,0.9023623663158548,38.53333333333334,0.0,False
21355,benchmark,10.60528795283892,10.462430809981777,109.38888888888887,0.0,False
21356,ets_tsb,2.5016128704521727,1.7486509716498926,48.007592051660325,0.0,False
21358,ets_tsb,1.5236543457119751,1.0096349228139356,28.338640123857452,0.0,False
21359,benchmark,,,,0.0,True
21360,benchmark,0.7288888888888889,-0.42666666666666664,6.333333333333334,0.0,False
21361,benchmark,13.019230769230768,13.019230769230768,34.22222222222222,0.0,False
21363,ets_tsb,2.2227346519836853,1.5782154215638289,24.123398397631462,0.0,False
21364,benchmark,2.3174603174603177,2.3174603174603177,5.111111111111111,0.0,False
21365,benchmark,1.0616413704421177,-0.17978202703209942,30.792335894396157,0.0,False
21366,benchmark,0.8096747798349628,-0.04923236946120242,4.7333333333333325,0.0,False
21367,benchmark,0.42062978222483827,0.08155532666274276,5.608397096331177,0.0,False
21368,benchmark,0.9661662232564217,-0.24922250474008698,12.500437539492074,0.0,False
21371,benchmark,0.976902876604026,-0.8500403819254394,33.08333333333333,0.0,False
21374,benchmark,1.4892757816540678,0.2010958894024145,46.44444444444445,0.0,False
21375,benchmark,1.691868131868132,1.2303296703296704,5.799999999999999,0.0,False
21376,benchmark,1.8480963480963482,1.6429681429681429,7.4444444444444455,0.0,False
21377,benchmark,2.536870242708752,2.0452596182285623,22.666666666666668,0.0,False
21378,ets_tsb,2.3526417365684855,2.3526417365684855,19.324811148616213,0.0,False
21379,xgboost,1.476824006346077,0.8727445573312808,22.341383541623753,0.25,False
